session,trial_id,choice_left,decision_time_ms,signed_contrast,random_seed
zadorlab | CSH_ZAD_026 | 2020-08-17,225,1,2338.097126939715,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,236,1,367.1560067825794,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,237,0,151.72589676728876,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,243,1,205.42605670175362,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,245,0,347.54295667539736,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,247,0,111.53118665515649,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,250,0,473.8445766249697,0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,252,0,299.0412966009899,0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,256,0,192.77810655125904,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,261,0,337.8382264979791,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,285,0,301.64395620590767,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,289,0,303.479066163618,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,294,1,3912.9275461025372,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,299,0,108.07287603006444,0.25,0
zadorlab | CSH_ZAD_026 | 2020-08-17,302,0,102.49613599580698,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,308,1,459.12309593200007,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,312,1,275.186545891529,0.25,0
zadorlab | CSH_ZAD_026 | 2020-08-17,320,0,283.2934258055957,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,331,1,340.5552456904388,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,337,1,183.5621156117213,1.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,339,1,182.1938155906082,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,340,1,605.0289955794597,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,345,1,148.18587549325457,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,347,1,1945.4559254631931,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,353,1,2436.5511153846455,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,354,1,214.31282537218976,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,368,1,2903.976615191823,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,373,1,172.5767751249805,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,376,1,718.7233550921519,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,379,1,230.12362505664896,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,380,1,2993.176985039554,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,382,1,552.7069250142631,1.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,384,1,219.35699498112626,0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,393,1,2937.0507548651403,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,395,0,125.86750483887954,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,405,0,97.9644647159148,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,415,0,502.38790460980454,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,417,0,239.26628458798405,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,428,0,147.28187441323826,0.25,0
zadorlab | CSH_ZAD_026 | 2020-08-17,429,1,265.56025439913356,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,430,0,171.7734743856454,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,434,0,169.39523434507464,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,438,0,136.80199430041284,0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,441,1,126.49056426516836,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,443,1,188.518964242121,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,466,0,419.8328439601937,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,475,0,284.10658386042087,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,476,0,131.82994384987978,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,477,0,135.30149383973367,1.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,480,0,158.23507380423507,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,482,0,206.47998378171906,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,493,0,351.25692366432304,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,494,0,106.31878365393277,0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,496,0,134.2221636305112,1.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,499,0,174.99209359448287,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,507,0,663.465813504672,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,508,0,97.37749349324076,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,509,0,363.0341934817807,0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,515,0,94.88768341293508,0.25,0
zadorlab | CSH_ZAD_026 | 2020-08-17,521,0,216.16954333876492,0.125,0
