source,source_bits,target,target_bits,probability,n_common_networks,choice,responsiveness,pliancy
10,[1010],14,[1110],0.08626198083067092,203,-17.637762820796187,10.115437932420832,5.247999275027475
10,[1010],8,[1000],0.012779552715654952,267,-6.665959527589205,-15.628835592588462,-9.933171481715082
10,[1010],2,[0010],0.03258785942492013,172,-11.75840640708638,-17.619282362032344,-5.709781963254569
10,[1010],6,[0110],0.006389776357827476,122,-29.866385570906186,-5.301702374057728,1.4194618603136997
10,[1010],0,[0000],0.0038338658146964857,272,-21.339043921882837,-55.468664434571934,-51.71362559914185
10,[1010],3,[0011],0.006389776357827476,105,-26.94386366487892,-9.625493604822399,3.609913691177871
10,[1010],12,[1100],0.003194888178913738,225,-28.176956191371204,-0.8022612623910557,-0.37089504824484276
10,[1010],7,[0111],0.005750798722044728,150,-40.69578491045935,-0.23168873742328633,7.150924150772465
10,[1010],9,[1001],0.0025559105431309905,144,-26.12388550222942,-5.451730597039553,1.790785095255806
10,[1010],5,[0101],0.0012779552715654952,253,-55.98817472765091,-12.913653783369359,-1.1803582726647925
3,[0011],7,[0111],0.2804801010739103,101,-15.470057808784745,9.580859786324535,4.845942619802036
3,[0011],11,[1011],0.2337334175615919,96,12.068187126505041,16.222928938386644,5.896049368751358
3,[0011],15,[1111],0.05622236260265319,89,-1.778777054926125,25.080266237239872,9.72110526736153
3,[0011],2,[0010],0.051168667087807956,107,13.930369014019943,-8.859625753167409,-9.478705171921836
3,[0011],1,[0001],0.07075173720783323,101,-13.356631906948651,-13.776420390422977,-8.305211233845249
3,[0011],10,[1010],0.011370814908401769,105,26.94386366487892,9.625493604822399,-3.609913691177871
3,[0011],0,[0000],0.002526847757422615,109,5.217844654786977,-41.68837634765048,-52.37300184198886
3,[0011],5,[0101],0.006948831332912192,106,-28.34342068784968,-4.901209630021358,-4.388158813595612
3,[0011],9,[1001],0.0018951358180669614,75,0.2523371979582736,3.8686757494287143,-2.643178560309975
3,[0011],8,[1000],0.0006317119393556538,101,20.16832462767611,-4.663610061021037,-12.543928381252943
3,[0011],6,[0110],0.0006317119393556538,64,-3.806822874362697,2.32723513301264,-2.9286032966026188
